Method,Accuracy,Precision,Recall,F1-Score,Time (s)
Chi-Square,0.9998,1.0,0.997610513739546,0.9988038277511961,0.4576
Dispersion,0.9249,0.9479166666666666,0.1087216248506571,0.19506966773847803,6.4841
Backward Elimination,0.9998,1.0,0.997610513739546,0.9988038277511961,0.4719
Random Forest,0.9999,1.0,0.998805256869773,0.9994022713687986,0.3702
