Dataset,Method,Accuracy,Precision,Recall,F1,Time
UNSW,BE,0.9995417048579285,1.0,0.999083409715857,0.9995414947271893,0.0231
UNSW,Forward,0.999083409715857,0.999083409715857,0.999083409715857,0.999083409715857,0.0468
UNSW,RFE,0.9995417048579285,1.0,0.999083409715857,0.9995414947271893,0.0389
CICIDS,BE,0.9689426809773921,0.9807962529274005,0.9566011877569667,0.9685476410730804,0.4367
CICIDS,Forward,0.9709979447362411,0.984037558685446,0.9575148469620831,0.9705950451493401,0.5495
CICIDS,RFE,0.9723681205754738,0.9900473933649289,0.9543170397441755,0.9718539195161665,0.4536
TON,BE,0.904495066390547,0.8995307423896042,0.9107077597758557,0.9050847457627119,14.4924
TON,Forward,0.9064441466682909,0.9197383318656435,0.8906078694116214,0.9049387300408467,14.7345
TON,RFE,0.905591424046778,0.9200201841806485,0.8884151540991595,0.903941497273178,16.1249
