Dataset,Method,Accuracy,Precision,Recall,F1,Time
UNSW,RF,0.998166819431714,0.9972552607502287,0.999083409715857,0.9981684981684982,0.0276
UNSW,DecisionTree,0.9977085242896425,0.9972527472527473,0.998166819431714,0.9977095739807604,0.1
UNSW,LASSO,0.9995417048579285,1.0,0.999083409715857,0.9995414947271893,0.0286
CICIDS,RF,0.9735099337748344,0.9919316563834836,0.9547738693467337,0.972998137802607,0.4666
CICIDS,DecisionTree,0.9652888787394382,0.9951385512882839,0.9351301964367291,0.9642016015073009,0.4874
CICIDS,LASSO,0.972596483215346,0.9886632026452528,0.9561443581544085,0.972131908964236,0.4874
TON,RF,0.917590449506639,0.9152131782945736,0.9204531611645754,0.9178256908593987,15.0234
TON,DecisionTree,0.9147886466073821,0.9123274400581255,0.9177731757826776,0.9150422056233679,14.6757
TON,LASSO,0.9057132415641369,0.9198285642253876,0.8889024241685954,0.9041011027134184,15.9056
